Employee ID,Employee Name,Department,MS Teams Hours,Slack Hours,Zoom Hours,Jira Hours,Confluence Hours,Email Hours,Total Tool Usage Hours,Productivity Score (out of 100)
E0001,Employee_1,Finance,0.93,5.63,7.27,0.67,0.73,1.33,16.56,68.23
E0002,Employee_2,Operations,0.39,0.04,1.36,0.39,0.91,2.73,5.82,71.93
E0003,Employee_3,Marketing,2.55,0.74,1.56,1.42,2.02,0.58,8.87,73.72
E0004,Employee_4,Operations,1.33,4.73,1.14,0.86,2.07,2.21,12.34,69.42
E0005,Employee_5,Operations,3.99,0.52,1.38,1.7,2.93,0.09,10.61,69.58
E0006,Employee_6,HR,0.66,4.3,2.75,6.12,0.8,1.61,16.24,68.79
E0007,Employee_7,Marketing,1.7,7.86,0.16,0.73,0.42,0.63,11.5,46.07
E0008,Employee_8,Marketing,1.0,3.72,5.32,0.15,0.47,2.22,12.88,65.88
E0009,Employee_9,Marketing,0.89,0.59,0.7,0.78,3.78,0.29,7.03,75.98
E0010,Employee_10,Operations,0.7,1.09,0.59,1.89,0.17,0.01,4.45,90.56
E0011,Employee_11,Finance,1.98,0.43,0.15,1.01,0.1,4.35,8.02,71.67
E0012,Employee_12,Marketing,1.15,2.23,0.8,0.34,8.02,3.65,16.19,62.81
E0013,Employee_13,Sales,3.94,0.58,0.08,0.72,1.54,0.79,7.65,65.76
E0014,Employee_14,Operations,6.72,1.22,3.69,0.43,1.06,2.4,15.52,75.01
E0015,Employee_15,HR,0.3,0.28,6.98,2.51,0.08,1.02,11.17,85.34
E0016,Employee_16,Finance,0.58,0.41,0.17,1.12,2.33,0.12,4.73,68.3
E0017,Employee_17,Sales,4.94,1.17,0.55,0.2,0.4,5.45,12.71,71.36
E0018,Employee_18,Sales,2.14,1.14,2.62,0.1,1.67,0.35,8.02,93.44
E0019,Employee_19,HR,0.26,0.84,0.19,0.2,0.75,7.78,10.02,76.98
E0020,Employee_20,Finance,0.85,1.25,2.1,0.1,5.96,4.36,14.62,73.69
E0021,Employee_21,Operations,0.6,0.03,5.42,1.39,1.55,2.3,11.29,75.03
E0022,Employee_22,IT,5.77,4.04,2.02,3.23,2.26,1.7,19.02,66.97
E0023,Employee_23,Finance,0.28,3.33,3.44,1.97,3.43,2.11,14.56,61.03
E0024,Employee_24,HR,0.48,0.95,0.08,1.93,0.82,2.13,6.39,63.12
E0025,Employee_25,Sales,0.97,2.29,0.83,0.6,1.37,2.36,8.42,76.08
E0026,Employee_26,Operations,0.08,1.08,6.86,1.59,1.1,1.68,12.39,66.97
E0027,Employee_27,Finance,1.72,2.63,0.27,0.58,1.74,4.04,10.98,54.17
E0028,Employee_28,IT,2.28,2.69,0.54,0.95,1.53,1.37,9.36,73.95
E0029,Employee_29,IT,0.99,0.71,0.21,0.11,6.37,3.76,12.15,72.85
E0030,Employee_30,Marketing,2.26,1.32,1.36,0.17,0.19,1.84,7.14,70.18
E0031,Employee_31,Marketing,1.61,0.48,5.84,3.04,0.24,5.35,16.56,84.86
E0032,Employee_32,HR,6.93,2.33,3.63,4.03,3.65,1.11,21.68,68.21
E0033,Employee_33,Finance,0.5,1.01,4.45,0.32,1.44,0.53,8.25,81.48
E0034,Employee_34,Finance,4.25,0.54,4.77,1.79,0.86,2.46,14.67,70.04
E0035,Employee_35,Sales,1.31,0.95,2.44,0.57,0.8,1.14,7.21,65.65
E0036,Employee_36,Sales,1.69,2.7,2.92,3.46,2.73,2.29,15.79,52.19
E0037,Employee_37,Sales,0.54,1.02,1.3,0.17,1.5,1.15,5.68,53.19
E0038,Employee_38,Marketing,0.09,5.17,5.03,0.58,2.38,0.16,13.41,74.29
E0039,Employee_39,Finance,0.36,0.49,0.7,10.96,2.39,0.97,15.87,70.73
E0040,Employee_40,Finance,6.37,0.12,1.0,0.23,0.82,0.37,8.91,72.64
E0041,Employee_41,IT,2.08,0.98,0.52,0.62,0.89,0.6,5.69,67.21
E0042,Employee_42,Marketing,0.66,1.06,1.85,0.63,0.29,0.16,4.65,72.18
E0043,Employee_43,Operations,5.64,1.08,1.74,5.03,0.17,4.19,17.85,53.76
E0044,Employee_44,Marketing,1.06,3.01,1.31,8.44,0.95,2.77,17.54,68.13
E0045,Employee_45,Operations,1.0,3.53,1.68,0.13,0.08,0.29,6.71,75.07
E0046,Employee_46,IT,2.77,4.89,1.76,2.59,2.83,0.95,15.79,86.22
E0047,Employee_47,HR,0.55,0.46,0.58,0.64,0.46,4.21,6.9,36.77
E0048,Employee_48,Finance,3.56,0.74,3.39,6.88,0.19,3.14,17.9,63.37
E0049,Employee_49,IT,1.78,1.31,1.09,3.07,2.04,3.27,12.56,71.05
E0050,Employee_50,Finance,7.87,1.87,2.02,1.62,0.19,2.59,16.16,74.95
E0051,Employee_51,Sales,1.59,1.2,4.83,0.71,1.48,2.39,12.2,66.95
E0052,Employee_52,HR,3.69,2.93,0.14,0.09,1.94,0.85,9.64,84.38
E0053,Employee_53,HR,0.47,1.73,0.84,1.54,1.23,1.76,7.57,87.33
E0054,Employee_54,IT,0.4,2.38,1.06,4.15,1.45,7.23,16.67,58.54
E0055,Employee_55,HR,1.84,0.51,3.45,0.85,0.85,0.06,7.56,88.05
E0056,Employee_56,Operations,0.88,4.49,0.28,0.8,0.78,0.19,7.42,95.11
E0057,Employee_57,HR,1.31,2.33,1.43,0.34,0.95,0.01,6.37,73.6
E0058,Employee_58,Finance,1.54,5.16,0.54,2.85,1.52,2.55,14.16,68.28
E0059,Employee_59,Finance,0.13,0.32,0.29,2.32,3.72,2.77,9.55,58.53
E0060,Employee_60,Finance,0.22,2.67,0.4,1.66,3.67,0.19,8.81,54.0
E0061,Employee_61,Finance,1.53,0.53,0.84,1.28,0.88,2.09,7.15,97.16
E0062,Employee_62,Operations,2.67,1.63,1.77,1.66,0.95,0.82,9.5,64.01
E0063,Employee_63,Marketing,4.6,1.87,0.56,1.38,0.8,5.43,14.64,65.62
E0064,Employee_64,Sales,3.81,0.18,3.28,0.11,3.69,0.11,11.18,46.63
E0065,Employee_65,IT,0.04,2.39,11.8,4.54,1.72,4.99,25.48,80.21
E0066,Employee_66,Finance,3.44,2.53,1.53,1.29,3.65,0.46,12.9,67.8
E0067,Employee_67,HR,6.88,2.48,0.45,2.67,1.51,2.46,16.45,64.64
E0068,Employee_68,Finance,1.41,5.38,0.77,1.8,0.92,1.21,11.49,70.64
E0069,Employee_69,HR,1.59,1.59,0.45,2.31,0.18,0.3,6.42,95.69
E0070,Employee_70,Sales,3.16,0.23,3.8,2.74,1.05,5.4,16.38,60.77
E0071,Employee_71,Sales,9.41,0.46,0.95,5.22,2.56,0.1,18.7,71.44
E0072,Employee_72,Sales,2.78,3.21,3.49,0.41,0.54,2.01,12.44,73.75
E0073,Employee_73,HR,4.77,0.76,1.77,2.3,1.2,2.5,13.3,70.85
E0074,Employee_74,Finance,1.55,1.16,1.72,0.88,0.99,1.52,7.82,79.15
E0075,Employee_75,Sales,0.14,0.52,1.57,1.13,0.81,2.62,6.79,62.79
E0076,Employee_76,Operations,4.22,1.37,2.71,1.7,12.14,2.79,24.93,67.66
E0077,Employee_77,HR,2.46,3.02,0.31,0.46,2.5,1.36,10.11,65.88
E0078,Employee_78,HR,1.54,0.95,1.22,1.85,1.4,1.55,8.51,73.35
E0079,Employee_79,Finance,1.33,1.05,2.96,0.02,1.82,1.67,8.85,77.76
E0080,Employee_80,HR,3.51,6.39,0.84,0.52,1.1,0.68,13.04,84.16
E0081,Employee_81,HR,1.91,4.86,0.3,0.21,0.59,2.59,10.46,61.01
E0082,Employee_82,Sales,5.02,3.12,0.05,2.11,2.95,0.94,14.19,69.95
E0083,Employee_83,Finance,0.14,0.16,0.22,3.67,4.83,0.26,9.28,64.09
E0084,Employee_84,Sales,0.41,3.63,0.81,0.75,0.52,1.87,7.99,66.05
E0085,Employee_85,Sales,0.95,2.73,0.46,3.1,1.85,0.24,9.33,80.85
E0086,Employee_86,Finance,5.13,1.25,1.31,5.01,1.77,0.07,14.54,65.26
E0087,Employee_87,IT,4.88,0.57,1.72,0.36,0.07,0.75,8.35,63.64
E0088,Employee_88,Sales,0.5,0.48,1.45,7.42,1.23,1.63,12.71,77.7
E0089,Employee_89,Operations,3.94,1.53,0.41,0.71,0.74,1.01,8.34,84.33
E0090,Employee_90,Operations,0.86,1.26,1.96,0.95,3.62,1.77,10.42,66.49
E0091,Employee_91,HR,0.7,2.5,1.5,1.53,1.31,1.37,8.91,66.98
E0092,Employee_92,Operations,0.81,0.16,2.8,0.64,4.55,1.5,10.46,72.15
E0093,Employee_93,HR,3.23,7.72,3.66,4.03,1.05,1.6,21.29,56.65
E0094,Employee_94,IT,1.41,1.81,0.83,1.69,4.37,1.63,11.74,62.89
E0095,Employee_95,Finance,2.55,3.27,8.97,1.85,3.29,6.57,26.5,44.82
E0096,Employee_96,Finance,0.18,2.01,2.66,3.77,0.26,4.18,13.06,59.46
E0097,Employee_97,Finance,2.06,2.43,4.83,1.96,0.82,3.49,15.59,63.91
E0098,Employee_98,Operations,3.55,0.85,2.97,0.9,3.95,0.5,12.72,67.67
E0099,Employee_99,IT,7.34,3.03,0.24,1.67,8.45,1.27,22.0,63.36
E0100,Employee_100,Operations,1.44,2.71,2.4,1.03,0.49,2.07,10.14,56.5
E0101,Employee_101,Operations,1.1,0.28,4.62,2.35,2.3,3.46,14.11,81.41
E0102,Employee_102,IT,1.38,0.14,1.04,1.38,2.55,0.23,6.72,72.91
E0103,Employee_103,IT,0.3,0.61,0.62,2.63,0.58,2.01,6.75,99.23
E0104,Employee_104,IT,3.64,1.04,2.95,1.1,0.87,6.37,15.97,64.86
E0105,Employee_105,IT,0.41,0.19,2.95,0.14,3.63,1.15,8.47,73.07
E0106,Employee_106,Finance,1.89,5.96,1.01,6.16,0.29,1.32,16.63,71.01
E0107,Employee_107,Marketing,0.63,1.55,0.35,3.68,3.75,6.21,16.17,70.66
E0108,Employee_108,Marketing,1.29,0.84,0.87,1.06,2.44,1.82,8.32,60.35
E0109,Employee_109,IT,1.23,0.16,0.16,0.0,6.87,0.01,8.43,67.71
E0110,Employee_110,Marketing,3.29,6.55,3.12,2.35,1.47,0.18,16.96,59.93
E0111,Employee_111,Marketing,6.35,2.84,2.04,2.85,2.58,2.03,18.69,79.2
E0112,Employee_112,IT,0.11,2.22,0.09,1.77,14.69,1.62,20.5,75.04
E0113,Employee_113,Marketing,1.28,0.75,0.26,2.63,0.43,0.24,5.59,85.77
E0114,Employee_114,Operations,2.73,0.11,1.21,1.48,2.07,2.1,9.7,66.56
E0115,Employee_115,HR,0.91,1.65,1.31,4.33,1.51,1.16,10.87,84.01
E0116,Employee_116,HR,3.26,1.55,2.17,2.68,1.47,1.11,12.24,49.83
E0117,Employee_117,IT,4.19,1.08,1.24,9.28,0.0,0.41,16.2,73.31
E0118,Employee_118,Finance,0.15,0.02,0.11,0.19,0.08,1.31,1.86,72.35
E0119,Employee_119,IT,1.74,0.63,1.02,0.19,0.82,1.48,5.88,53.45
E0120,Employee_120,Finance,3.83,2.51,1.78,0.65,4.82,0.09,13.68,65.16
E0121,Employee_121,HR,0.23,0.99,0.27,6.27,3.2,0.6,11.56,71.96
E0122,Employee_122,IT,4.31,1.84,4.68,9.05,2.72,0.13,22.73,64.14
E0123,Employee_123,Sales,1.03,3.64,0.52,3.55,0.26,0.1,9.1,66.29
E0124,Employee_124,Operations,6.31,3.5,3.23,1.99,0.49,1.46,16.98,65.47
E0125,Employee_125,Marketing,1.82,1.49,0.6,1.45,1.35,11.22,17.93,65.16
E0126,Employee_126,Finance,1.95,2.76,0.07,4.51,3.93,1.22,14.44,77.23
E0127,Employee_127,Sales,0.99,0.64,1.3,0.09,3.82,0.07,6.91,76.61
E0128,Employee_128,Marketing,2.66,0.66,0.58,0.01,2.38,0.1,6.39,69.8
E0129,Employee_129,Marketing,1.52,6.55,0.23,4.5,9.53,0.13,22.46,64.2
E0130,Employee_130,IT,4.74,1.69,2.17,1.57,4.0,2.65,16.82,76.89
E0131,Employee_131,Marketing,1.47,4.05,0.56,0.34,0.35,0.81,7.58,74.39
E0132,Employee_132,Operations,0.42,4.27,6.5,1.25,4.23,0.01,16.68,60.36
E0133,Employee_133,Sales,3.43,0.52,4.79,0.0,1.62,2.83,13.19,60.58
E0134,Employee_134,Marketing,0.18,0.79,1.64,0.25,0.95,0.02,3.83,66.93
E0135,Employee_135,IT,3.41,0.27,0.67,0.04,1.13,3.67,9.19,58.55
E0136,Employee_136,Operations,2.8,3.11,0.38,2.95,5.89,0.36,15.49,63.27
E0137,Employee_137,HR,2.95,2.47,1.28,0.12,0.16,3.83,10.81,89.8
E0138,Employee_138,Sales,1.8,0.97,0.14,3.45,0.93,3.42,10.71,62.25
E0139,Employee_139,Marketing,0.58,0.0,0.35,1.26,5.78,0.22,8.19,71.79
E0140,Employee_140,IT,3.5,0.71,3.66,2.96,0.52,0.28,11.63,80.84
E0141,Employee_141,HR,4.05,6.61,0.06,2.63,4.81,3.89,22.05,45.51
E0142,Employee_142,HR,0.77,2.58,2.74,0.45,4.05,2.51,13.1,62.78
E0143,Employee_143,Finance,1.65,1.28,1.57,0.35,0.46,0.19,5.5,70.66
E0144,Employee_144,Operations,1.51,0.04,3.19,0.7,4.86,6.85,17.15,54.56
E0145,Employee_145,Marketing,0.41,1.24,0.0,1.82,1.87,0.57,5.91,57.18
E0146,Employee_146,IT,0.35,2.11,0.79,1.78,1.14,8.31,14.48,70.92
E0147,Employee_147,Finance,0.32,1.25,2.28,1.01,7.35,2.56,14.77,79.77
E0148,Employee_148,Operations,6.1,4.77,2.58,2.77,0.32,0.22,16.76,74.04
E0149,Employee_149,Finance,1.69,0.04,1.32,0.47,0.85,2.99,7.36,81.55
E0150,Employee_150,Sales,0.17,3.48,0.89,0.78,7.59,0.45,13.36,69.24
E0151,Employee_151,Operations,2.36,3.45,0.08,2.22,6.05,0.27,14.43,69.89
E0152,Employee_152,Operations,1.92,1.9,0.71,5.47,5.89,1.96,17.85,74.88
E0153,Employee_153,Marketing,3.06,1.89,1.32,2.16,1.61,1.82,11.86,68.06
E0154,Employee_154,Operations,0.08,0.36,1.15,2.58,1.8,2.1,8.07,85.95
E0155,Employee_155,Finance,1.31,1.91,0.8,1.27,2.73,4.11,12.13,63.31
E0156,Employee_156,Operations,0.35,0.04,2.12,0.81,1.56,1.36,6.24,71.06
E0157,Employee_157,Marketing,0.17,1.03,0.5,1.08,0.46,3.67,6.91,82.86
E0158,Employee_158,Marketing,1.98,2.66,2.92,1.41,1.57,1.44,11.98,66.26
E0159,Employee_159,Sales,1.77,0.06,1.01,1.86,1.82,3.15,9.67,61.28
E0160,Employee_160,Finance,0.97,1.25,3.62,0.54,2.99,1.04,10.41,56.16
E0161,Employee_161,HR,1.84,2.0,0.93,1.44,1.07,0.14,7.42,62.35
E0162,Employee_162,HR,1.04,1.8,1.73,2.17,0.2,2.11,9.05,69.08
E0163,Employee_163,Operations,0.75,1.02,3.9,0.02,1.78,1.83,9.3,56.29
E0164,Employee_164,Sales,0.53,4.3,1.17,0.8,1.19,2.21,10.2,64.37
E0165,Employee_165,IT,0.32,1.19,1.77,5.94,0.58,0.89,10.69,83.7
E0166,Employee_166,Operations,0.88,1.53,3.04,2.44,1.18,3.99,13.06,52.41
E0167,Employee_167,Sales,1.63,1.55,0.07,8.64,0.26,0.53,12.68,70.15
E0168,Employee_168,Finance,0.51,0.4,0.19,0.22,1.76,2.33,5.41,67.52
E0169,Employee_169,Finance,1.01,1.31,2.32,0.04,0.78,7.23,12.69,53.21
E0170,Employee_170,Finance,1.48,0.84,1.52,0.27,0.28,0.31,4.7,77.68
E0171,Employee_171,Finance,5.62,2.64,0.35,0.42,2.62,0.34,11.99,77.06
E0172,Employee_172,Finance,7.69,0.94,0.04,0.56,3.55,4.0,16.78,54.42
E0173,Employee_173,Sales,2.93,0.24,3.17,5.02,1.84,5.66,18.86,70.63
E0174,Employee_174,Sales,1.72,0.86,0.35,1.86,0.77,4.03,9.59,80.11
E0175,Employee_175,Marketing,10.02,2.79,0.19,0.68,0.23,2.1,16.01,76.01
E0176,Employee_176,HR,4.21,0.76,4.06,0.94,0.7,2.09,12.76,67.23
E0177,Employee_177,Finance,0.8,1.99,1.88,1.66,0.96,1.59,8.88,81.2
E0178,Employee_178,IT,1.18,0.03,1.77,0.37,2.06,2.85,8.26,93.33
E0179,Employee_179,Sales,1.39,1.56,6.05,3.76,4.91,3.36,21.03,48.18
E0180,Employee_180,IT,1.3,1.0,1.59,2.75,2.51,1.47,10.62,71.4
E0181,Employee_181,IT,3.46,1.13,4.54,0.15,6.19,2.13,17.6,54.03
E0182,Employee_182,IT,1.3,0.43,0.36,1.92,1.48,2.22,7.71,66.32
E0183,Employee_183,Marketing,5.31,1.52,1.74,0.19,2.53,1.02,12.31,58.26
E0184,Employee_184,Sales,3.92,3.22,0.41,0.7,3.15,0.41,11.81,69.73
E0185,Employee_185,IT,5.0,1.11,0.18,3.38,0.94,1.5,12.11,71.42
E0186,Employee_186,Finance,1.8,3.16,2.08,0.38,0.89,4.73,13.04,90.98
E0187,Employee_187,Operations,2.94,1.63,0.59,0.72,2.63,3.81,12.32,79.13
E0188,Employee_188,IT,2.91,0.32,1.1,0.33,0.54,4.07,9.27,76.06
E0189,Employee_189,Marketing,1.28,1.53,0.39,0.75,0.52,0.46,4.93,59.27
E0190,Employee_190,Sales,2.0,0.12,0.31,0.64,1.82,2.25,7.14,78.96
E0191,Employee_191,Marketing,1.17,1.18,2.58,0.03,0.83,3.42,9.21,53.9
E0192,Employee_192,IT,4.72,2.96,0.62,2.07,1.81,1.03,13.21,78.85
E0193,Employee_193,Sales,0.91,0.84,1.92,1.17,3.57,2.21,10.62,71.65
E0194,Employee_194,Operations,0.63,1.8,2.28,0.52,1.22,0.42,6.87,65.55
E0195,Employee_195,IT,0.11,0.95,0.9,10.8,1.18,0.81,14.75,59.38
E0196,Employee_196,Marketing,6.52,2.02,2.81,0.37,1.05,1.1,13.87,69.68
E0197,Employee_197,HR,3.45,0.0,0.72,7.95,1.29,0.96,14.37,60.28
E0198,Employee_198,Finance,2.23,0.2,0.59,3.1,4.0,1.88,12.0,76.89
E0199,Employee_199,Marketing,1.41,0.35,0.13,0.25,0.52,0.84,3.5,57.89
E0200,Employee_200,Sales,0.55,1.43,3.49,0.66,5.71,4.13,15.97,55.11
E0201,Employee_201,IT,0.35,3.09,1.71,1.67,0.99,1.39,9.2,79.26
E0202,Employee_202,Finance,1.98,2.24,1.52,2.56,0.3,0.48,9.08,47.52
E0203,Employee_203,IT,3.42,0.78,0.05,0.33,0.51,6.31,11.4,76.42
E0204,Employee_204,Sales,1.71,1.31,0.75,1.86,0.3,4.57,10.5,70.95
E0205,Employee_205,IT,3.54,0.76,6.11,3.49,2.2,0.26,16.36,76.33
E0206,Employee_206,HR,0.53,0.17,3.0,0.26,1.8,5.51,11.27,35.48
E0207,Employee_207,Finance,4.18,0.65,3.81,0.0,0.04,1.85,10.53,56.61
E0208,Employee_208,Finance,1.66,0.43,0.48,1.33,2.81,1.93,8.64,55.05
E0209,Employee_209,Sales,0.71,1.13,0.37,0.16,3.05,0.62,6.04,77.47
E0210,Employee_210,HR,1.92,2.01,0.52,0.53,0.5,0.38,5.86,62.85
E0211,Employee_211,Marketing,2.13,3.77,2.58,3.14,1.04,2.12,14.78,71.41
E0212,Employee_212,IT,1.31,0.39,0.98,6.64,0.57,0.29,10.18,48.17
E0213,Employee_213,Operations,1.08,3.12,1.75,2.28,0.42,1.93,10.58,79.06
E0214,Employee_214,IT,1.98,0.44,0.13,0.09,0.93,0.62,4.19,67.97
E0215,Employee_215,IT,2.08,1.38,0.62,0.32,0.27,4.0,8.67,77.99
E0216,Employee_216,Marketing,3.33,1.9,3.93,1.0,6.26,0.29,16.71,54.26
E0217,Employee_217,IT,0.22,2.15,5.72,3.31,0.16,0.66,12.22,68.01
E0218,Employee_218,HR,3.04,3.49,1.37,0.98,1.2,0.51,10.59,71.23
E0219,Employee_219,HR,4.4,1.2,4.28,0.22,8.89,1.17,20.16,72.85
E0220,Employee_220,Finance,3.24,0.22,0.07,1.42,0.98,1.24,7.17,83.69
E0221,Employee_221,Sales,9.56,7.06,5.71,3.06,0.88,1.06,27.33,73.89
E0222,Employee_222,Operations,0.14,1.1,0.17,1.45,4.58,3.05,10.49,71.64
E0223,Employee_223,IT,0.52,7.46,2.2,0.02,0.59,0.6,11.39,78.93
E0224,Employee_224,IT,0.78,0.27,1.29,0.24,1.33,5.06,8.97,69.99
E0225,Employee_225,Marketing,1.47,1.92,0.34,0.09,0.23,1.83,5.88,69.67
E0226,Employee_226,Sales,1.6,0.98,0.36,0.64,5.27,2.25,11.1,61.66
E0227,Employee_227,HR,1.37,0.03,9.76,2.23,0.76,4.23,18.38,68.83
E0228,Employee_228,Operations,2.02,0.5,7.67,2.76,1.63,0.4,14.98,50.92
E0229,Employee_229,Finance,0.11,0.77,2.8,0.63,1.55,2.6,8.46,73.99
E0230,Employee_230,HR,0.19,6.71,1.34,0.33,0.84,1.07,10.48,62.94
E0231,Employee_231,Sales,2.84,2.72,1.89,0.22,0.33,0.2,8.2,80.92
E0232,Employee_232,Finance,1.14,0.35,1.63,3.34,2.71,4.26,13.43,70.34
E0233,Employee_233,Marketing,0.65,0.43,4.24,2.14,0.74,2.71,10.91,73.88
E0234,Employee_234,Marketing,2.33,0.94,1.55,1.49,3.77,3.66,13.74,80.0
E0235,Employee_235,IT,3.58,0.02,2.77,2.84,2.27,2.82,14.3,66.79
E0236,Employee_236,Sales,1.39,0.27,0.97,2.06,3.03,0.49,8.21,83.11
E0237,Employee_237,Operations,0.3,2.18,0.0,0.39,0.06,0.37,3.3,69.19
E0238,Employee_238,Finance,1.03,4.15,1.43,2.57,0.22,0.51,9.91,58.24
E0239,Employee_239,HR,2.43,0.11,1.33,1.83,1.84,0.05,7.59,82.11
E0240,Employee_240,Sales,0.32,2.38,2.74,8.03,0.47,3.49,17.43,52.08
E0241,Employee_241,Sales,1.47,0.94,0.26,2.66,0.54,0.93,6.8,79.33
E0242,Employee_242,Marketing,0.71,0.38,2.03,1.37,0.39,2.32,7.2,80.22
E0243,Employee_243,IT,9.45,2.75,2.69,6.0,0.45,1.67,23.01,70.67
E0244,Employee_244,IT,1.77,2.39,5.31,3.05,0.12,3.83,16.47,83.52
E0245,Employee_245,Finance,0.51,0.95,1.24,1.31,1.14,5.54,10.69,78.75
E0246,Employee_246,Marketing,0.1,4.69,4.8,3.03,0.01,0.12,12.75,82.91
E0247,Employee_247,Sales,0.51,0.28,1.02,5.12,1.28,0.03,8.24,79.74
E0248,Employee_248,Operations,7.36,0.93,1.12,3.73,0.62,0.34,14.1,61.02
E0249,Employee_249,Marketing,3.84,0.1,1.93,1.65,0.85,0.76,9.13,68.75
E0250,Employee_250,Finance,0.54,2.64,1.59,0.27,4.28,1.0,10.32,70.95
E0251,Employee_251,Finance,3.52,3.1,1.96,1.36,7.78,0.31,18.03,57.61
E0252,Employee_252,Marketing,0.83,0.74,5.88,6.84,0.4,0.04,14.73,73.74
E0253,Employee_253,Finance,2.55,1.08,0.19,2.3,1.58,7.88,15.58,62.29
E0254,Employee_254,Marketing,1.56,3.14,1.59,1.9,0.51,3.75,12.45,54.81
E0255,Employee_255,HR,1.12,0.3,2.18,0.49,0.21,3.96,8.26,87.2
E0256,Employee_256,Marketing,0.69,3.09,0.24,0.88,7.64,3.16,15.7,64.54
E0257,Employee_257,Marketing,1.38,0.83,4.11,1.57,2.84,2.81,13.54,58.49
E0258,Employee_258,Finance,0.59,5.86,1.64,2.78,1.63,1.61,14.11,72.54
E0259,Employee_259,Finance,0.2,0.84,0.66,0.99,3.2,0.93,6.82,49.55
E0260,Employee_260,IT,0.2,1.16,0.44,0.41,0.2,0.88,3.29,62.98
E0261,Employee_261,IT,2.83,0.65,0.75,2.06,0.44,4.55,11.28,41.76
E0262,Employee_262,HR,1.63,0.36,1.9,0.9,4.55,0.37,9.71,80.78
E0263,Employee_263,IT,1.41,1.82,0.07,0.9,2.64,3.43,10.27,79.9
E0264,Employee_264,Marketing,6.87,3.89,0.25,2.69,0.77,8.92,23.39,57.03
E0265,Employee_265,Finance,1.33,0.26,2.58,0.78,11.67,7.8,24.42,54.17
E0266,Employee_266,IT,2.32,0.2,0.06,3.46,0.47,0.95,7.46,74.91
E0267,Employee_267,IT,7.26,0.82,0.7,5.01,0.23,2.85,16.87,53.29
E0268,Employee_268,HR,0.59,3.42,4.24,1.49,0.56,0.24,10.54,80.56
E0269,Employee_269,Sales,0.18,2.54,1.09,4.72,2.69,0.42,11.64,57.76
E0270,Employee_270,HR,1.72,2.68,3.28,3.71,0.59,0.06,12.04,89.13
E0271,Employee_271,Marketing,2.69,0.22,0.76,0.01,2.29,0.37,6.34,80.51
E0272,Employee_272,Finance,0.49,0.89,0.14,2.88,1.05,2.85,8.3,67.07
E0273,Employee_273,HR,4.68,0.53,3.29,0.12,4.58,2.1,15.3,63.56
E0274,Employee_274,IT,0.95,0.51,0.96,0.28,1.06,3.24,7.0,60.11
E0275,Employee_275,Finance,1.3,0.04,1.09,0.06,6.78,0.27,9.54,75.64
E0276,Employee_276,Finance,3.66,8.01,1.94,1.64,1.98,1.52,18.75,74.47
E0277,Employee_277,IT,2.02,1.2,0.49,0.26,0.14,0.61,4.72,73.5
E0278,Employee_278,HR,0.67,3.48,0.15,0.51,2.62,1.83,9.26,64.57
E0279,Employee_279,IT,0.13,4.2,4.2,0.8,0.83,9.02,19.18,71.0
E0280,Employee_280,Sales,3.64,0.67,1.12,0.62,3.11,1.7,10.86,92.1
E0281,Employee_281,Finance,2.15,0.58,0.5,1.34,2.68,1.49,8.74,59.43
E0282,Employee_282,Operations,0.83,0.36,0.37,5.92,1.18,3.11,11.77,68.02
E0283,Employee_283,Operations,2.04,2.26,0.28,0.53,3.09,7.06,15.26,58.41
E0284,Employee_284,Marketing,1.28,8.25,0.63,1.05,4.44,0.01,15.66,57.86
E0285,Employee_285,IT,0.08,1.85,4.76,0.55,1.27,1.2,9.71,93.11
E0286,Employee_286,IT,1.27,1.19,1.29,1.79,1.54,3.85,10.93,64.47
E0287,Employee_287,Marketing,0.1,3.58,3.71,0.67,1.24,1.15,10.45,64.85
E0288,Employee_288,Marketing,0.09,0.65,3.39,0.67,3.41,1.52,9.73,56.71
E0289,Employee_289,Marketing,4.24,1.71,0.06,2.25,0.09,1.2,9.55,85.03
E0290,Employee_290,Finance,4.28,2.22,0.6,2.25,0.7,2.53,12.58,61.62
E0291,Employee_291,Sales,6.16,2.56,3.97,0.0,2.53,3.54,18.76,73.81
E0292,Employee_292,IT,3.22,2.17,0.19,1.81,1.6,4.61,13.6,56.15
E0293,Employee_293,Finance,1.04,0.77,2.77,1.06,2.08,2.08,9.8,72.42
E0294,Employee_294,Marketing,1.39,0.3,0.25,0.34,0.38,2.03,4.69,81.79
E0295,Employee_295,IT,2.7,1.51,3.53,9.48,3.43,2.37,23.02,38.97
E0296,Employee_296,Finance,0.18,1.02,4.82,3.3,0.49,1.26,11.07,85.04
E0297,Employee_297,Sales,3.39,0.14,0.98,3.82,1.03,0.16,9.52,81.42
E0298,Employee_298,Finance,1.78,0.51,0.97,1.2,1.73,2.85,9.04,71.79
E0299,Employee_299,Sales,0.21,4.41,0.02,0.92,0.06,1.0,6.62,85.66
E0300,Employee_300,Marketing,0.36,2.08,0.09,2.87,5.86,0.83,12.09,99.83
